Ion Charge,El. Name,Ionization Energy (a) (eV)
0,H,13.5984346
0,He,24.58738901
1,He,54.41776549
0,Li,5.391714996
1,Li,75.640097
2,Li,122.4543591
0,Be,9.322699
1,Be,18.21115
2,Be,153.896205
3,Be,217.7185861
0,B,8.298019
1,B,25.15483
2,B,37.93059
3,B,259.3715
4,B,340.2260229
0,C,11.260288
1,C,24.383154
2,C,47.88778
3,C,64.49352
4,C,392.090518
5,C,489.993198
0,N,14.53413
1,N,29.60125
2,N,47.4453
3,N,77.4735
4,N,97.8901
5,N,552.06733
6,N,667.046121
0,O,13.618055
1,O,35.12112
2,O,54.93554
3,O,77.4135
4,O,113.899
5,O,138.1189
6,O,739.32683
7,O,871.409883
0,F,17.42282
1,F,34.97081
2,F,62.70798
3,F,87.175
4,F,114.249
5,F,157.16311
6,F,185.1868
7,F,953.89805
8,F,1103.11748
0,Ne,21.564541
1,Ne,40.96297
2,Ne,63.4233
3,Ne,97.19
4,Ne,126.247
5,Ne,157.934
6,Ne,207.271
7,Ne,239.097
8,Ne,1195.80784
9,Ne,1362.19916
0,Na,5.13907696
1,Na,47.28636
2,Na,71.62
3,Na,98.936
4,Na,138.404
5,Na,172.23
6,Na,208.504
7,Na,264.192
8,Na,299.856
9,Na,1465.134502
0,Mg,7.646236
1,Mg,15.035271
2,Mg,80.1436
3,Mg,109.2654
4,Mg,141.33
5,Mg,186.76
6,Mg,225.02
7,Mg,265.924
8,Mg,327.99
9,Mg,367.489
0,Al,5.985769
1,Al,18.82855
2,Al,28.447642
3,Al,119.9924
4,Al,153.8252
5,Al,190.49
6,Al,241.76
7,Al,284.64
8,Al,330.21
9,Al,398.65
0,Si,8.15168
1,Si,16.34585
2,Si,33.493
3,Si,45.14179
4,Si,166.767
5,Si,205.279
6,Si,246.57
7,Si,303.59
8,Si,351.28
9,Si,401.38
0,P,10.486686
1,P,19.76949
2,P,30.20264
3,P,51.44387
4,P,65.02511
5,P,220.43
6,P,263.57
7,P,309.6
8,P,372.31
9,P,424.4
0,S,10.36001
1,S,23.33788
2,S,34.86
3,S,47.222
4,S,72.5945
5,S,88.0529
6,S,280.954
7,S,328.794
8,S,379.84
9,S,447.7
0,Cl,12.967633
1,Cl,23.81364
2,Cl,39.8
3,Cl,53.24
4,Cl,67.68
5,Cl,96.94
6,Cl,114.2013
7,Cl,348.306
8,Cl,400.851
9,Cl,456.7
0,Ar,15.7596119
1,Ar,27.62967
2,Ar,40.735
3,Ar,59.58
4,Ar,74.84
5,Ar,91.29
6,Ar,124.41
7,Ar,143.4567
8,Ar,422.6
9,Ar,479.76
0,K,4.34066373
1,K,31.625
2,K,45.8031
3,K,60.917
4,K,82.66
5,K,99.44
6,K,117.56
7,K,154.87
8,K,175.8174
9,K,503.67
0,Ca,6.11315547
1,Ca,11.871719
2,Ca,50.91316
3,Ca,67.2732
4,Ca,84.34
5,Ca,108.78
6,Ca,127.21
7,Ca,147.24
8,Ca,188.54
9,Ca,211.275
0,Sc,6.56149
1,Sc,12.79977
2,Sc,24.756839
3,Sc,73.4894
4,Sc,91.95
5,Sc,110.68
6,Sc,137.99
7,Sc,158.08
8,Sc,180.03
9,Sc,225.18
0,Ti,6.82812
1,Ti,13.5755
2,Ti,27.49171
3,Ti,43.26717
4,Ti,99.299
5,Ti,119.533
6,Ti,140.68
7,Ti,170.5
8,Ti,192.1
9,Ti,215.92
0,V,6.746187
1,V,14.634
2,V,29.3111
3,V,46.709
4,V,65.28165
5,V,128.125
6,V,150.72
7,V,173.55
8,V,206
9,V,230.5
0,Cr,6.76651
1,Cr,16.486305
2,Cr,30.959
3,Cr,49.16
4,Cr,69.46
5,Cr,90.6349
6,Cr,160.29
7,Cr,184.76
8,Cr,209.5
9,Cr,244.5
0,Mn,7.434038
1,Mn,15.63999
2,Mn,33.668
3,Mn,51.21
4,Mn,72.41
5,Mn,95.604
6,Mn,119.203
7,Mn,195.5
8,Mn,221.89
9,Mn,248.6
0,Fe,7.9024681
1,Fe,16.19921
2,Fe,30.651
3,Fe,54.91
4,Fe,75
5,Fe,98.985
6,Fe,124.976
7,Fe,151.06
8,Fe,233.6
9,Fe,262.1
0,Co,7.88101
1,Co,17.0844
2,Co,33.5
3,Co,51.27
4,Co,79.5
5,Co,102
6,Co,128.9
7,Co,157.8
8,Co,186.14
9,Co,275.4
0,Ni,7.639878
1,Ni,18.168838
2,Ni,35.187
3,Ni,54.92
4,Ni,76.06
5,Ni,108
6,Ni,132
7,Ni,162
8,Ni,193.2
9,Ni,224.7
0,Cu,7.72638
1,Cu,20.29239
2,Cu,36.841
3,Cu,57.38
4,Cu,79.8
5,Cu,103
6,Cu,139
7,Cu,166
8,Cu,198
9,Cu,232.2
0,Zn,9.394197
1,Zn,17.96439
2,Zn,39.7233
3,Zn,59.573
4,Zn,82.6
5,Zn,108
6,Zn,133.9
7,Zn,173.9
8,Zn,203
9,Zn,238
0,Ga,5.999302
1,Ga,20.51514
2,Ga,30.72576
3,Ga,63.241
4,Ga,86.01
5,Ga,112.7
6,Ga,140.8
7,Ga,169.9
8,Ga,211
9,Ga,244
0,Ge,7.899435
1,Ge,15.93461
2,Ge,34.0576
3,Ge,45.7155
4,Ge,90.5
5,Ge,115.9
6,Ge,144.9
7,Ge,176.4
8,Ge,212.5
9,Ge,252.1
0,As,9.78855
1,As,18.5892
2,As,28.349
3,As,50.15
4,As,62.77
5,As,121.19
6,As,147
7,As,180
8,As,213
9,As,247
0,Se,9.752392
1,Se,21.196
2,Se,31.697
3,Se,42.947
4,Se,68.3
5,Se,81.83
6,Se,155.327
7,Se,184
8,Se,219
9,Se,255
0,Br,11.81381
1,Br,21.591
2,Br,34.871
3,Br,47.782
4,Br,59.595
5,Br,87.39
6,Br,103.03
7,Br,192.61
8,Br,224
9,Br,261
0,Kr,13.9996055
1,Kr,24.35984
2,Kr,35.838
3,Kr,50.85
4,Kr,64.69
5,Kr,78.49
6,Kr,109.13
7,Kr,125.802
8,Kr,233
9,Kr,268
0,Rb,4.1771281
1,Rb,27.28954
2,Rb,39.247
3,Rb,52.2
4,Rb,68.44
5,Rb,82.9
6,Rb,98.67
7,Rb,132.79
8,Rb,150.628
9,Rb,277.12
0,Sr,5.69486745
1,Sr,11.0302765
2,Sr,42.88353
3,Sr,56.28
4,Sr,70.7
5,Sr,88
6,Sr,104
7,Sr,121.21
8,Sr,158.33
9,Sr,177.3
0,Y,6.21726
1,Y,12.2236
2,Y,20.52441
3,Y,60.6072
4,Y,75.35
5,Y,91.39
6,Y,110.02
7,Y,128.12
8,Y,145.64
9,Y,185.7
0,Zr,6.634126
1,Zr,13.13
2,Zr,23.17
3,Zr,34.41836
4,Zr,80.348
5,Zr,96.38
6,Zr,112
7,Zr,133.7
8,Zr,153
9,Zr,172.02
0,Nb,6.75885
1,Nb,14.32
2,Nb,25.04
3,Nb,37.611
4,Nb,50.5728
5,Nb,102.069
6,Nb,119.1
7,Nb,136
8,Nb,159.2
9,Nb,180
0,Mo,7.09243
1,Mo,16.16
2,Mo,27.13
3,Mo,40.33
4,Mo,54.417
5,Mo,68.82704
6,Mo,125.638
7,Mo,143.6
8,Mo,164.12
9,Mo,186.3
0,Tc,7.11938
1,Tc,15.26
2,Tc,29.55
3,Tc,41
4,Tc,57
5,Tc,72
6,Tc,88
7,Tc,150
8,Tc,169
9,Tc,189.9
0,Ru,7.3605
1,Ru,16.76
2,Ru,28.47
3,Ru,45
4,Ru,59
5,Ru,76
6,Ru,93
7,Ru,110
8,Ru,178.41
9,Ru,198
0,Rh,7.4589
1,Rh,18.08
2,Rh,31.06
3,Rh,42
4,Rh,63
5,Rh,80
6,Rh,97
7,Rh,115.1
8,Rh,135
9,Rh,207.51
0,Pd,8.336839
1,Pd,19.43
2,Pd,32.93
3,Pd,46
4,Pd,61
5,Pd,84.1
6,Pd,101
7,Pd,120
8,Pd,141
9,Pd,159.9
0,Ag,7.576234
1,Ag,21.4844
2,Ag,34.8
3,Ag,49
4,Ag,65
5,Ag,82
6,Ag,106
7,Ag,125
8,Ag,145.1
9,Ag,167
0,Cd,8.99382
1,Cd,16.908313
2,Cd,37.468
3,Cd,51
4,Cd,67.9
5,Cd,87
6,Cd,105
7,Cd,130.1
8,Cd,150
9,Cd,173
0,In,5.7863558
1,In,18.87041
2,In,28.04415
3,In,55.45
4,In,69.3
5,In,90
6,In,109
7,In,130.1
8,In,156
9,In,178
0,Sn,7.343918
1,Sn,14.63307
2,Sn,30.506
3,Sn,40.74
4,Sn,77.03
5,Sn,94
6,Sn,112.9
7,Sn,135
8,Sn,156
9,Sn,184
0,Sb,8.608389
1,Sb,16.626
2,Sb,25.3235
3,Sb,43.804
4,Sb,55
5,Sb,99.51
6,Sb,117
7,Sb,139
8,Sb,162
9,Sb,185
0,Tb,9.009808
1,Tb,18.6
2,Tb,27.84
3,Tb,37.4155
4,Tb,59.3
5,Tb,69.1
6,Tb,124.2
7,Tb,143
8,Tb,167
9,Tb,191.1
0,I,10.45126
1,I,19.13126
2,I,29.57
3,I,40.357
4,I,51.52
5,I,74.4
6,I,87.61
7,I,150.81
8,I,171
9,I,197
0,Xe,12.1298437
1,Xe,20.975
2,Xe,31.05
3,Xe,42.2
4,Xe,54.1
5,Xe,66.703
6,Xe,91.6
7,Xe,105.9778
8,Xe,179.84
9,Xe,202
0,Cs,3.893905727
1,Cs,23.15745
2,Cs,33.195
3,Cs,43
4,Cs,56
5,Cs,69.1
6,Cs,82.9
7,Cs,110.1
8,Cs,125.61
9,Cs,213.3
0,Ba,5.2116646
1,Ba,10.003826
2,Ba,35.8438
3,Ba,47
4,Ba,58
5,Ba,71
6,Ba,86
7,Ba,101
8,Ba,130.5
9,Ba,146.52
0,La,5.5769
1,La,11.18496
2,La,19.1773
3,La,49.95
4,La,61.6
5,La,74
6,La,88
7,La,105
8,La,119
9,La,151.4
0,Ce,5.5386
1,Ce,10.956
2,Ce,20.1974
3,Ce,36.906
4,Ce,65.55
5,Ce,77.6
6,Ce,91
7,Ce,106
8,Ce,125
9,Ce,140
0,Pr,5.4702
1,Pr,10.631
2,Pr,21.6237
3,Pr,38.981
4,Pr,57.53
5,Pr,82
6,Pr,97
7,Pr,112
8,Pr,131
9,Pr,148
0,Nd,5.525
1,Nd,10.783
2,Nd,22.09
3,Nd,40.6
4,Nd,60
5,Nd,84
6,Nd,99
7,Nd,114
8,Nd,136
9,Nd,152
0,Pm,5.58187
1,Pm,10.938
2,Pm,22.44
3,Pm,41.17
4,Pm,61.7
5,Pm,85
6,Pm,101
7,Pm,116
8,Pm,138
9,Pm,155
0,Sm,5.643722
1,Sm,11.078
2,Sm,23.55
3,Sm,41.64
4,Sm,62.7
5,Sm,87
6,Sm,103
7,Sm,118
8,Sm,141
9,Sm,158
0,Eu,5.670385
1,Eu,11.24
2,Eu,24.84
3,Eu,42.94
4,Eu,63.2
5,Eu,89
6,Eu,105
7,Eu,120
8,Eu,144
9,Eu,161
0,Gd,6.1498
1,Gd,12.076
2,Gd,20.54
3,Gd,44.44
4,Gd,64.8
5,Gd,89
6,Gd,106
7,Gd,123
8,Gd,144
9,Gd,165
0,Tb,5.8638
1,Tb,11.513
2,Tb,21.82
3,Tb,39.33
4,Tb,66.5
5,Tb,90
6,Tb,108
7,Tb,125
8,Tb,143
9,Tb,168
0,Dy,5.93905
1,Dy,11.647
2,Dy,22.89
3,Dy,41.23
4,Dy,62.1
5,Dy,93
6,Dy,110
7,Dy,127
8,Dy,152
9,Dy,170
0,Ho,6.0215
1,Ho,11.781
2,Ho,22.79
3,Ho,42.52
4,Ho,63.9
5,Ho,95
6,Ho,112
7,Ho,129
8,Ho,155
9,Ho,173
0,Er,6.1077
1,Er,11.916
2,Er,22.7
3,Er,42.42
4,Er,65.1
5,Er,96
6,Er,114
7,Er,131
8,Er,158
9,Er,177
0,Tm,6.18431
1,Tm,12.065
2,Tm,23.66
3,Tm,42.41
4,Tm,65.4
5,Tm,98
6,Tm,116
7,Tm,133
8,Tm,160
9,Tm,180
0,Yb,6.25416
1,Yb,12.179185
2,Yb,25.053
3,Yb,43.61
4,Yb,65.6
5,Yb,99
6,Yb,117
7,Yb,135
8,Yb,163
9,Yb,182
0,Lu,5.425871
1,Lu,14.13
2,Lu,20.9594
3,Lu,45.249
4,Lu,66.8
5,Lu,98
6,Lu,117
7,Lu,136
8,Lu,159
9,Lu,185
0,Hf,6.82507
1,Hf,14.61
2,Hf,22.55
3,Hf,33.37
4,Hf,68.37
5,Hf,98
6,Hf,118
7,Hf,137
8,Hf,157
9,Hf,187
0,Ta,7.549571
1,Ta,16.2
2,Ta,23.1
3,Ta,35
4,Ta,48.272
5,Ta,94.01
6,Ta,119
7,Ta,139
8,Ta,159
9,Ta,180
0,W,7.86403
1,W,16.37
2,W,26
3,W,38.2
4,W,51.6
5,W,64.77
6,W,122.01
7,W,141.2
8,W,160.2
9,W,179
0,Re,7.83352
1,Re,16.6
2,Re,27
3,Re,39.1
4,Re,51.9
5,Re,67
6,Re,82.71
7,Re,144.4
8,Re,165
9,Re,187
0,Os,8.43823
1,Os,17
2,Os,25
3,Os,41
4,Os,55
5,Os,70.1
6,Os,85.1
7,Os,102.02
8,Os,168.7
9,Os,190
0,Ir,8.96702
1,Ir,17
2,Ir,28
3,Ir,40
4,Ir,57
5,Ir,72
6,Ir,89
7,Ir,105
8,Ir,122.7
9,Ir,194.8
0,Pt,8.95883
1,Pt,18.56
2,Pt,29
3,Pt,43
4,Pt,56
5,Pt,75
6,Pt,91
7,Pt,109
8,Pt,126
9,Pt,144.9
0,Au,9.225554
1,Au,20.203
2,Au,30
3,Au,45
4,Au,60
5,Au,74
6,Au,94
7,Au,112
8,Au,130.1
9,Au,149
0,Hg,10.437504
1,Hg,18.75688
2,Hg,34.49
3,Hg,48.55
4,Hg,61.2
5,Hg,76.6
6,Hg,93
7,Hg,113.9
8,Hg,134
9,Hg,153
0,Tl,6.1082873
1,Tl,20.4283
2,Tl,29.852
3,Tl,51.14
4,Tl,62.6
5,Tl,80
6,Tl,97.9
7,Tl,116
8,Tl,135
9,Tl,158
0,Pb,7.4166799
1,Pb,15.032499
2,Pb,31.9373
3,Pb,42.33256
4,Pb,68.8
5,Pb,82.9
6,Pb,100.1
7,Pb,120
8,Pb,138
9,Pb,158
0,Bi,7.285516
1,Bi,16.703
2,Bi,25.57075
3,Bi,45.37
4,Bi,54.856
5,Bi,88.4
6,Bi,103
7,Bi,122
8,Bi,143
9,Bi,161.1
0,Po,8.41807
1,Po,19.3
2,Po,27.3
3,Po,36
4,Po,57
5,Po,69.1
6,Po,108
7,Po,125
8,Po,146.1
9,Po,166
0,At,9.31751
1,At,17.88
2,At,26.58
3,At,39.65
4,At,50.39
5,At,72
6,At,85.1
7,At,130.1
8,At,149
9,At,169
0,Rn,10.7485
1,Rn,21.4
2,Rn,29.4
3,Rn,36.9
4,Rn,52.9
5,Rn,64
6,Rn,88
7,Rn,102
8,Rn,154
9,Rn,173.9
0,Fr,4.0727411
1,Fr,22.4
2,Fr,33.5
3,Fr,39.1
4,Fr,50
5,Fr,67
6,Fr,80
7,Fr,106
8,Fr,120
9,Fr,179
0,Ra,5.2784239
1,Ra,10.14718
2,Ra,31
3,Ra,41
4,Ra,52.9
5,Ra,64
6,Ra,82
7,Ra,97
8,Ra,124
9,Ra,140
0,Ac,5.380226
1,Ac,11.75
2,Ac,17.431
3,Ac,44.8
4,Ac,55
5,Ac,67
6,Ac,79
7,Ac,98.9
8,Ac,113.9
9,Ac,143.9
0,Th,6.3067
1,Th,12.1
2,Th,18.32
3,Th,28.648
4,Th,58
5,Th,69.1
6,Th,82
7,Th,95
8,Th,118
9,Th,133
0,Pa,5.89
1,Pa,11.9
2,Pa,18.6
3,Pa,30.9
4,Pa,44.3
5,Pa,72
6,Pa,85.1
7,Pa,98.9
8,Pa,111
9,Pa,137
0,U,6.19405
1,U,11.6
2,U,19.8
3,U,36.7
4,U,46
5,U,62
6,U,89
7,U,101
8,U,116
9,U,128.9
0,Np,6.26554
1,Np,11.5
2,Np,19.7
3,Np,33.8
4,Np,48
5,Np,65
6,Np,92
7,Np,107
8,Np,121
9,Np,136
0,Pu,6.02576
1,Pu,11.5
2,Pu,21.1
3,Pu,35
4,Pu,49
5,Pu,80
6,Pu,95
7,Pu,109
8,Pu,124
9,Pu,139
0,Am,5.97381
1,Am,11.7
2,Am,21.7
3,Am,36.8
4,Am,50
5,Am,67.9
6,Am,95
7,Am,110
8,Am,125
9,Am,141
0,Cm,5.99141
1,Cm,12.4
2,Cm,20.1
3,Cm,37.7
4,Cm,51
5,Cm,69.1
6,Cm,97
7,Cm,112
8,Cm,128
9,Cm,144
0,Bk,6.19785
1,Bk,11.9
2,Bk,21.6
3,Bk,36
4,Bk,56
5,Bk,70.1
6,Bk,90
7,Bk,114
8,Bk,130
9,Bk,147
0,Cf,6.28166
1,Cf,12
2,Cf,22.4
3,Cf,37.7
4,Cf,51.9
5,Cf,75
6,Cf,91
7,Cf,112.9
8,Cf,133
9,Cf,152
0,Es,6.36758
1,Es,12.2
2,Es,22.7
3,Es,38.8
4,Es,54.1
5,Es,71
6,Es,97
7,Es,112.9
8,Es,137
9,Es,157
0,Fm,6.5
1,Fm,12.4
2,Fm,23.2
3,Fm,39.3
4,Fm,55
5,Fm,74
6,Fm,93
7,Fm,120
8,Fm,136
9,Fm,162
0,Md,6.58
1,Md,12.4
2,Md,24.3
3,Md,40
4,Md,54.1
5,Md,76
6,Md,96
7,Md,115.1
8,Md,143.9
9,Md,162
0,No,6.62621
1,No,12.93
2,No,25.8
3,No,41.5
4,No,60
5,No,74
6,No,97
7,No,119
8,No,140
9,No,170
0,Lr,4.96
1,Lr,14.54
2,Lr,21.8
3,Lr,43.6
4,Lr,56
5,Lr,80
6,Lr,96
7,Lr,121
8,Lr,143
9,Lr,165
0,Rf,6.02
1,Rf,14.35
2,Rf,23.84
3,Rf,31.87
4,Rf,64
5,Rf,77
6,Rf,102
7,Rf,119
8,Rf,146.1
9,Rf,169
0,Db,6.8
1,Db,14
2,Db,23.1
3,Db,33
4,Db,43
5,Db,86
6,Db,98.9
7,Db,126
8,Db,145.1
9,Db,172
0,Sg,7.8
1,Sg,17.1
2,Sg,25.8
3,Sg,35.5
4,Sg,47.2
5,Sg,59.3
6,Sg,109
7,Sg,122
8,Sg,152
9,Sg,170
0,Bh,7.7
1,Bh,17.5
2,Bh,26.7
3,Bh,37.3
4,Bh,49
5,Bh,62.1
6,Bh,74.9
7,Bh,134
8,Bh,148
9,Bh,178
0,Hs,7.6
1,Hs,18.2
2,Hs,29.3
3,Hs,37.7
4,Hs,51.2
5,Hs,64
6,Hs,78.1
7,Hs,91.7
8,Hs,159.9
9,Hs,173.9
4,Mt,50
5,Mt,
6,Mt,
7,Mt,94
8,Mt,109
9,Mt,187
5,Ds,65
6,Ds,
7,Ds,
8,Ds,112.9
9,Ds,128
